Subzone,PopMale,PopFemale
ADMIRALTY,6860,7060
AIRPORT ROAD,-,-
ALEXANDRA HILL,6630,6860
ALEXANDRA NORTH,1230,1400
ALJUNIED,19740,20250
ANAK BUKIT,10370,11500
ANCHORVALE,23700,24420
ANG MO KIO TOWN CENTRE,2260,2550
ANSON,-,-
BAHAR,-,-
BALESTIER,15670,16760
BANGKIT,11010,11260
BAYFRONT SUBZONE,-,-
BAYSHORE,3580,3870
BEDOK NORTH,39700,42140
BEDOK RESERVOIR,12480,12990
BEDOK SOUTH,22540,24160
BENCOOLEN,620,690
BENDEMEER,18240,19330
BENOI SECTOR,-,-
BIDADARI,-,-
BISHAN EAST,13420,14880
BOAT QUAY,70,60
BOON KENG,5630,6160
BOON LAY PLACE,15060,14270
BOON TECK,7210,7450
BOULEVARD,210,200
BRADDELL,4590,5210
BRAS BASAH,-,-
BRICKLAND,-,-
BRICKWORKS,9800,10020
BUGIS,440,450
BUKIT BATOK CENTRAL,13290,14000
BUKIT BATOK EAST,6290,6410
BUKIT BATOK SOUTH,7360,7570
BUKIT BATOK WEST,7300,7700
BUKIT HO SWEE,7050,7340
BUKIT MERAH,550,570
CAIRNHILL,1830,2060
CECIL,130,130
CENTRAL SUBZONE,410,470
CENTRAL WATER CATCHMENT,-,-
CHANGI AIRPORT,-,-
CHANGI BAY,-,-
CHANGI POINT,300,240
CHANGI WEST,660,650
CHATSWORTH,3190,3690
CHENG SAN,13480,14600
CHIN BEE,-,-
CHINA SQUARE,670,760
CHINATOWN,5040,5450
CHOA CHU KANG CENTRAL,11180,11340
CHOA CHU KANG NORTH,15860,16070
CHONG BOON,12860,13640
CITY HALL,-,-
CITY TERMINALS,-,-
CLARKE QUAY,70,50
CLEANTECH,-,-
CLEMENTI CENTRAL,6600,7400
CLEMENTI NORTH,13400,15410
CLEMENTI WEST,7310,7950
CLEMENTI WOODS,7660,8340
CLIFFORD PIER,-,-
COMMONWEALTH,3230,3770
COMPASSVALE,10170,10790
CONEY ISLAND,-,-
CORONATION ROAD,3050,3650
CRAWFORD,4630,3750
DAIRY FARM,3350,3590
DEFU INDUSTRIAL PARK,-,-
DEPOT ROAD,3090,3450
DHOBY GHAUT,160,160
DOVER,5260,5820
DUNEARN,1800,2150
EAST COAST,-,-
EVERTON PARK,3680,4120
FABER,2620,2740
FAJAR,13870,13950
FARRER COURT,2900,3280
FARRER PARK,1350,1310
FERNVALE,28860,29950
FLORA DRIVE,7200,7470
FOREST HILL,-,-
FORT CANNING,90,90
FRANKEL,16260,18230
GALI BATU,-,-
GARDEN,-,-
GEYLANG BAHRU,5620,5660
GEYLANG EAST,14540,15380
GHIM MOH,6470,7380
GOMBAK,4840,5090
GOODWOOD PARK,600,660
GREENWOOD PARK,-,-
GUILIN,6290,6650
GUL BASIN,-,-
GUL CIRCLE,-,-
HENDERSON HILL,6490,6830
HILLCREST,4170,5300
HILLVIEW,9290,10000
HOLLAND DRIVE,5760,6920
HOLLAND ROAD,4800,6040
HONG KAH,26650,27230
HONG KAH NORTH,13030,13120
HOUGANG CENTRAL,2350,2370
HOUGANG EAST,12110,12810
HOUGANG WEST,22410,23050
INSTITUTION HILL,1500,1650
INTERNATIONAL BUSINESS PARK,-,-
ISTANA NEGARA,-,-
JELEBU,15370,15940
JOO KOON,-,-
JOO SENG,4030,4120
JURONG GATEWAY,210,240
JURONG ISLAND AND BUKOM,-,-
JURONG PORT,-,-
JURONG RIVER,-,-
JURONG WEST CENTRAL,31810,31950
KAKI BUKIT,18210,18940
KALLANG BAHRU,-,-
KALLANG WAY,-,-
KAMPONG BUGIS,460,460
KAMPONG GLAM,80,40
KAMPONG JAVA,5140,5390
KAMPONG TIONG BAHRU,4440,4560
KAMPONG UBI,5890,5910
KANGKAR,15740,16540
KATONG,4440,4910
KEAT HONG,19010,19170
KEBUN BAHRU,10660,11970
KEMBANGAN,18460,19010
KENT RIDGE,-,-
KHATIB,4980,5270
KIAN TECK,-,-
KIM KEAT,3840,4130
KOVAN,11960,12840
KRANJI,-,-
LAKESIDE,570,500
LAVENDER,5070,4610
LEEDON PARK,2960,3480
LEONIE HILL,1430,1690
LIM CHU KANG,60,50
LITTLE INDIA,1680,1580
LIU FANG,-,-
LORONG 8 TOA PAYOH,3420,3730
LORONG AH SOO,15270,17050
LORONG CHUAN,4090,4400
LORONG HALUS,-,-
LORONG HALUS NORTH,-,-
LOWER SELETAR,9240,9420
LOYANG EAST,1060,1080
LOYANG WEST,100,120
MACKENZIE,60,50
MACPHERSON,14070,14300
MALCOLM,1380,1570
MANDAI EAST,-,-
MANDAI ESTATE,990,1100
MANDAI WEST,-,-
MARGARET DRIVE,7710,8380
MARINA CENTRE,-,-
MARINA EAST,-,-
MARINA EAST (MP),-,-
MARINA SOUTH,-,-
MARINE PARADE,12530,14350
MARITIME SQUARE,1770,1850
MARYMOUNT,14680,14940
MATILDA,25610,26590
MAXWELL,-,-
MEI CHIN,7350,8210
MIDVIEW,17660,17610
MONK'S HILL,520,510
MOULMEIN,4720,4580
MOUNT EMILY,770,860
MOUNT PLEASANT,350,340
MOUNTBATTEN,4720,5260
MURAI,290,350
NASSIM,4410,5110
NATIONAL UNIVERSITY OF S'PORE,70,170
NATURE RESERVE,1810,2040
NEE SOON,440,450
NEWTON CIRCUS,140,110
NICOLL,150,140
NORTH COAST,6130,5970
NORTH-EASTERN ISLANDS,-,-
NORTHLAND,13930,14070
NORTHSHORE,230,220
ONE NORTH,350,370
ONE TREE HILL,910,1150
ORANGE GROVE,840,950
OXLEY,670,820
PANDAN,-,-
PANG SUA,-,-
PARK,-,-
PASIR PANJANG 1,2200,2300
PASIR PANJANG 2,1490,1570
PASIR RIS CENTRAL,15750,16490
PASIR RIS DRIVE,26940,27480
PASIR RIS PARK,3760,3860
PASIR RIS WAFER FAB PARK,-,-
PASIR RIS WEST,17720,18070
PATERSON,110,130
PAYA LEBAR EAST,-,-
PAYA LEBAR NORTH,-,-
PAYA LEBAR WEST,-,-
PEARL'S HILL,3370,2750
PEI CHUN,4940,5420
PENG SIANG,17340,17390
PENJURU CRESCENT,-,-
PEOPLE'S PARK,140,160
PHILLIP,-,-
PIONEER SECTOR,-,-
PLAB,-,-
PLANTATION,-,-
PORT,60,60
POTONG PASIR,5660,6060
PULAU PUNGGOL BARAT,-,-
PULAU PUNGGOL TIMOR,-,-
PULAU SELETAR,-,-
PUNGGOL CANAL,-,-
PUNGGOL FIELD,24120,24840
PUNGGOL TOWN CENTRE,10920,11340
QUEENSWAY,130,140
RAFFLES PLACE,-,-
REDHILL,5150,5470
RESERVOIR VIEW,-,-
RIDOUT,690,830
RIVERVALE,29460,30230
ROBERTSON QUAY,1390,1610
ROCHOR CANAL,-,-
SAFTI,-,-
SAMULUN,-,-
SAUJANA,12830,13090
SELEGIE,110,100
SELETAR,130,150
SELETAR AEROSPACE PARK,-,-
SELETAR HILLS,7250,7460
SEMAKAU,-,-
SEMBAWANG CENTRAL,17060,17740
SEMBAWANG EAST,8550,8790
SEMBAWANG HILLS,3210,3650
SEMBAWANG NORTH,12750,12790
SEMBAWANG SPRINGS,4480,4610
SEMBAWANG STRAITS,980,930
SENGKANG TOWN CENTRE,30290,31500
SENGKANG WEST,-,-
SENJA,9920,10260
SENNETT,3480,3720
SENOKO NORTH,-,-
SENOKO SOUTH,-,-
SENOKO WEST,-,-
SENTOSA,920,1020
SERANGOON CENTRAL,11800,12960
SERANGOON GARDEN,17220,18860
SERANGOON NORTH,7840,8100
SERANGOON NORTH IND ESTATE,-,-
SHANGRI-LA,7780,8180
SHIPYARD,-,-
SIGLAP,2980,3460
SIMEI,19050,20400
SIMPANG NORTH,-,-
SIMPANG SOUTH,-,-
SINGAPORE GENERAL HOSPITAL,-,-
SINGAPORE POLYTECHNIC,-,-
SOMERSET,60,80
SOUTHERN GROUP,-,-
SPRINGLEAF,2180,2190
STRAITS VIEW,-,-
SUDONG,-,-
SUNGEI ROAD,1020,1030
SUNSET WAY,2640,3010
SWISS CLUB,2470,2880
TAGORE,3790,4160
TAI SENG,6670,7160
TAMAN JURONG,19920,20000
TAMPINES EAST,63960,67010
TAMPINES NORTH,3950,4090
TAMPINES WEST,39150,40510
TANGLIN,170,210
TANGLIN HALT,4960,5630
TANJONG IRAU,-,-
TANJONG PAGAR,350,320
TANJONG RHU,5230,5880
TEBAN GARDENS,9250,9280
TECK WHYE,12190,12140
TELOK BLANGAH DRIVE,9170,10140
TELOK BLANGAH RISE,5740,6420
TELOK BLANGAH WAY,4610,4620
TENGAH INDUSTRIAL ESTATE,-,-
TENGEH,-,-
THE WHARVES,-,-
TIONG BAHRU,5990,6900
TIONG BAHRU STATION,7140,7980
TOA PAYOH CENTRAL,12960,15070
TOA PAYOH WEST,6570,7780
TOH GUAN,7230,7360
TOH TUCK,-,-
TOWNSVILLE,9930,11210
TRAFALGAR,24950,24240
TUAS BAY,-,-
TUAS NORTH,-,-
TUAS PROMENADE,-,-
TUAS VIEW,-,-
TUAS VIEW EXTENSION,-,-
TUKANG,-,-
TURF CLUB,330,340
TYERSALL,1810,2070
ULU PANDAN,5280,5740
UPPER PAYA LEBAR,8160,8760
UPPER THOMSON,14160,15230
VICTORIA,840,920
WATERWAY EAST,25050,25530
WENYA,4170,4110
WEST COAST,3370,3500
WOODGROVE,16870,16920
WOODLANDS EAST,49490,49500
WOODLANDS REGIONAL CENTRE,-,-
WOODLANDS SOUTH,20540,20470
WOODLANDS WEST,17260,16650
WOODLEIGH,1200,1260
XILIN,890,880
YEW TEE,20100,20280
YIO CHU KANG,-,-
YIO CHU KANG EAST,2090,2120
YIO CHU KANG NORTH,-,-
YIO CHU KANG WEST,11520,12630
YISHUN CENTRAL,1290,1340
YISHUN EAST,30030,30640
YISHUN SOUTH,20670,21580
YISHUN WEST,26720,27190
YUHUA EAST,12120,12650
YUHUA WEST,9530,9630
YUNNAN,34250,33250
